Entity ID,Acquisition Start Date,Acquisition End Date,Tile Number,Cloud Cover,Agency,Platform,Vendor,Vendor Tile ID,Orbit Number,Orbit Direction,Vendor Software Version,Production Date,Vendor Product ID,Archiving Center,Datatake Type,Datatake Identifier,Data Type,Product Type,Product Format,Processing Level,Datastrip ID,Datum,Map Projection,UTM Zone,EPSG Code,Resolution,Units,Sun Zenith Angle Mean,Sun Azimuth Angle  Mean,Quantification,Image_Referencing,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Long,NE  Corner Lat,NE  Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW  Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID
L1C_T50QPL_A034120_20220103T024719,2022-01-03T02:47:19.848Z,2022-01-03T02:54:54.427Z,T50QPL,6.94110,ESA,SENTINEL-2A,VGS1,L1C_T50QPL_A034120_20220103T024719,89,Descending Orbit,03.01,2022-01-03T04:29:50.000000Z,S2A_MSIL1C_20220103T024121_N0301_R089_T50QPL_20220103T042950,VGS1,INS-NOBS,GS2A_20220103T024121_034120_N03.01,UINT16,S2MSI1C,JPEG2000,LEVEL-1C,S2A_OPER_MSI_L1C_DS_VGS1_20220103T042950_S20220103T024719_N03.01,WGS84,UTM,50N,32650,10  20  60,METER,49.6830376924062,155.9573060860330,10000,Y,23°00'26.72"N,118°30'41.23"E,23°30'26.91"N,117°58'46.03"E,23°29'49.22"N,119°03'16.18"E,22°30'20.77"N,119°02'22.35"E,22°30'56.70"N,117°58'20.35"E,23.0074215,118.511452,23.5074763,117.9794527,23.4970055,119.0544957,22.5057693,119.0395409,22.51575,117.9723185,L1C_T50QPL_A034120_20220103T024719,16106400
L1C_T50QQL_A034120_20220103T024719,2022-01-03T02:47:19.848Z,2022-01-03T02:54:54.427Z,T50QQL,2.32870,ESA,SENTINEL-2A,VGS1,L1C_T50QQL_A034120_20220103T024719,89,Descending Orbit,03.01,2022-01-03T04:29:50.000000Z,S2A_MSIL1C_20220103T024121_N0301_R089_T50QQL_20220103T042950,VGS1,INS-NOBS,GS2A_20220103T024121_034120_N03.01,UINT16,S2MSI1C,JPEG2000,LEVEL-1C,S2A_OPER_MSI_L1C_DS_VGS1_20220103T042950_S20220103T024719_N03.01,WGS84,UTM,50N,32650,10  20  60,METER,49.3177217928231,157.0249967986740,10000,Y,22°59'42.41"N,119°29'10.51"E,23°29'53.69"N,118°57'29.45"E,23°28'51.72"N,120°01'56.91"E,22°29'25.96"N,120°00'37.53"E,22°30'25.03"N,118°56'38.13"E,22.9951143,119.4862518,23.4982462,118.9581809,23.4810344,120.0324758,22.4905457,120.0104242,22.5069519,118.943926,L1C_T50QQL_A034120_20220103T024719,16106474
L1C_T50QPK_A034120_20220103T024719,2022-01-03T02:47:19.848Z,2022-01-03T02:54:54.427Z,T50QPK,13.69410,ESA,SENTINEL-2A,VGS1,L1C_T50QPK_A034120_20220103T024719,89,Descending Orbit,03.01,2022-01-03T04:29:50.000000Z,S2A_MSIL1C_20220103T024121_N0301_R089_T50QPK_20220103T042950,VGS1,INS-NOBS,GS2A_20220103T024121_034120_N03.01,UINT16,S2MSI1C,JPEG2000,LEVEL-1C,S2A_OPER_MSI_L1C_DS_VGS1_20220103T042950_S20220103T024719_N03.01,WGS84,UTM,50N,32650,10  20  60,METER,48.8395589801177,155.6955837702570,10000,Y,22°06'14.97"N,118°30'05.91"E,22°36'14.72"N,117°58'22.58"E,22°35'38.63"N,119°02'27.02"E,21°36'09.76"N,119°01'35.86"E,21°36'44.10"N,117°57'58.17"E,22.1041598,118.5016409,22.6040892,117.972938,22.5940651,119.0408395,21.6027096,119.0266278,21.6122496,117.9661585,L1C_T50QPK_A034120_20220103T024719,16106950
L1C_T50QQK_A034120_20220103T024719,2022-01-03T02:47:19.848Z,2022-01-03T02:54:54.427Z,T50QQK,1.89960,ESA,SENTINEL-2A,VGS1,L1C_T50QQK_A034120_20220103T024719,89,Descending Orbit,03.01,2022-01-03T04:29:50.000000Z,S2A_MSIL1C_20220103T024121_N0301_R089_T50QQK_20220103T042950,VGS1,INS-NOBS,GS2A_20220103T024121_034120_N03.01,UINT16,S2MSI1C,JPEG2000,LEVEL-1C,S2A_OPER_MSI_L1C_DS_VGS1_20220103T042950_S20220103T024719_N03.01,WGS84,UTM,50N,32650,10  20  60,METER,48.4710993097837,156.7663864837120,10000,Y,22°05'32.59"N,119°28'12.45"E,22°35'42.91"N,118°56'42.59"E,22°34'43.59"N,120°00'44.42"E,21°35'17.37"N,119°59'28.98"E,21°36'13.82"N,118°55'53.82"E,22.0923866,119.4701258,22.5952529,118.9451638,22.5787754,120.0123391,21.5881579,119.991383,21.60384,118.9316174,L1C_T50QQK_A034120_20220103T024719,16107297
L1C_T50QQK_A034220_20220110T023721,2022-01-10T02:37:21.492Z,2022-01-10T02:44:30.817Z,T50QQK,7.67710,ESA,SENTINEL-2A,VGS1,L1C_T50QQK_A034220_20220110T023721,46,Descending Orbit,03.01,2022-01-10T04:18:37.000000Z,S2A_MSIL1C_20220110T023101_N0301_R046_T50QQK_20220110T041837,VGS1,INS-NOBS,GS2A_20220110T023101_034220_N03.01,UINT16,S2MSI1C,JPEG2000,LEVEL-1C,S2A_OPER_MSI_L1C_DS_VGS1_20220110T041837_S20220110T023721_N03.01,WGS84,UTM,50N,32650,10  20  60,METER,48.9831185194980,152.6609026142870,10000,Y,22°05'32.59"N,119°28'12.45"E,22°35'42.91"N,118°56'42.59"E,22°34'43.59"N,120°00'44.42"E,21°35'17.37"N,119°59'28.98"E,21°36'13.82"N,118°55'53.82"E,22.0923866,119.4701258,22.5952529,118.9451638,22.5787754,120.0123391,21.5881579,119.991383,21.60384,118.9316174,L1C_T50QQK_A034220_20220110T023721,16178293
L1C_T50QQL_A034220_20220110T023721,2022-01-10T02:37:21.492Z,2022-01-10T02:44:30.817Z,T50QQL,25.01800,ESA,SENTINEL-2A,VGS1,L1C_T50QQL_A034220_20220110T023721,46,Descending Orbit,03.01,2022-01-10T04:18:37.000000Z,S2A_MSIL1C_20220110T023101_N0301_R046_T50QQL_20220110T041837,VGS1,INS-NOBS,GS2A_20220110T023101_034220_N03.01,UINT16,S2MSI1C,JPEG2000,LEVEL-1C,S2A_OPER_MSI_L1C_DS_VGS1_20220110T041837_S20220110T023721_N03.01,WGS84,UTM,50N,32650,10  20  60,METER,49.8052217887094,152.9653714318510,10000,Y,22°59'42.41"N,119°29'10.51"E,23°29'53.69"N,118°57'29.45"E,23°28'51.72"N,120°01'56.91"E,22°29'25.96"N,120°00'37.53"E,22°30'25.03"N,118°56'38.13"E,22.9951143,119.4862518,23.4982462,118.9581809,23.4810344,120.0324758,22.4905457,120.0104242,22.5069519,118.943926,L1C_T50QQL_A034220_20220110T023721,16178408
L1C_T50QPL_A034263_20220113T024807,2022-01-13T02:48:07.998Z,2022-01-13T02:54:05.167Z,T50QPL,11.01450,ESA,SENTINEL-2A,VGS2,L1C_T50QPL_A034263_20220113T024807,89,Descending Orbit,03.01,2022-01-13T04:28:09.000000Z,S2A_MSIL1C_20220113T024051_N0301_R089_T50QPL_20220113T042809,VGS2,INS-NOBS,GS2A_20220113T024051_034263_N03.01,UINT16,S2MSI1C,JPEG2000,LEVEL-1C,S2A_OPER_MSI_L1C_DS_VGS2_20220113T042809_S20220113T024807_N03.01,WGS84,UTM,50N,32650,10  20  60,METER,48.8828252417963,154.0417915198580,10000,Y,23°00'26.72"N,118°30'41.23"E,23°30'26.91"N,117°58'46.03"E,23°29'49.22"N,119°03'16.18"E,22°30'20.77"N,119°02'22.35"E,22°30'56.70"N,117°58'20.35"E,23.0074215,118.511452,23.5074763,117.9794527,23.4970055,119.0544957,22.5057693,119.0395409,22.51575,117.9723185,L1C_T50QPL_A034263_20220113T024807,16211278
L1C_T50QQK_A025383_20220115T023035,2022-01-15T02:30:35.461Z,2022-01-15T02:43:23.917Z,T50QQK,0.02090,ESA,SENTINEL-2B,VGS4,L1C_T50QQK_A025383_20220115T023035,46,Descending Orbit,03.01,2022-01-15T03:54:24.000000Z,S2B_MSIL1C_20220115T023039_N0301_R046_T50QQK_20220115T035424,VGS4,INS-NOBS,GS2B_20220115T023039_025383_N03.01,UINT16,S2MSI1C,JPEG2000,LEVEL-1C,S2B_OPER_MSI_L1C_DS_VGS4_20220115T035424_S20220115T023035_N03.01,WGS84,UTM,50N,32650,10  20  60,METER,48.4654975915674,151.6010361963880,10000,Y,22°05'32.59"N,119°28'12.45"E,22°35'42.91"N,118°56'42.59"E,22°34'43.59"N,120°00'44.42"E,21°35'17.37"N,119°59'28.98"E,21°36'13.82"N,118°55'53.82"E,22.0923866,119.4701258,22.5952529,118.9451638,22.5787754,120.0123391,21.5881579,119.991383,21.60384,118.9316174,L1C_T50QQK_A025383_20220115T023035,16232995
L1C_T50QQL_A025383_20220115T023035,2022-01-15T02:30:35.461Z,2022-01-15T02:43:23.917Z,T50QQL,2.64220,ESA,SENTINEL-2B,VGS4,L1C_T50QQL_A025383_20220115T023035,46,Descending Orbit,03.01,2022-01-15T03:54:24.000000Z,S2B_MSIL1C_20220115T023039_N0301_R046_T50QQL_20220115T035424,VGS4,INS-NOBS,GS2B_20220115T023039_025383_N03.01,UINT16,S2MSI1C,JPEG2000,LEVEL-1C,S2B_OPER_MSI_L1C_DS_VGS4_20220115T035424_S20220115T023035_N03.01,WGS84,UTM,50N,32650,10  20  60,METER,49.2805892086364,151.9245820863650,10000,Y,22°59'42.41"N,119°29'10.51"E,23°29'53.69"N,118°57'29.45"E,23°28'51.72"N,120°01'56.91"E,22°29'25.96"N,120°00'37.53"E,22°30'25.03"N,118°56'38.13"E,22.9951143,119.4862518,23.4982462,118.9581809,23.4810344,120.0324758,22.4905457,120.0104242,22.5069519,118.943926,L1C_T50QQL_A025383_20220115T023035,16233436
L1C_T50QQK_A034363_20220120T023021,2022-01-20T02:30:21.460Z,2022-01-20T02:42:51.877Z,T50QQK,28.59590,ESA,SENTINEL-2A,VGS4,L1C_T50QQK_A034363_20220120T023021,46,Descending Orbit,03.01,2022-01-20T03:36:38.000000Z,S2A_MSIL1C_20220120T023021_N0301_R046_T50QQK_20220120T033638,VGS4,INS-NOBS,GS2A_20220120T023021_034363_N03.01,UINT16,S2MSI1C,JPEG2000,LEVEL-1C,S2A_OPER_MSI_L1C_DS_VGS4_20220120T033638_S20220120T023021_N03.01,WGS84,UTM,50N,32650,10  20  60,METER,47.7637422790589,150.5314690812020,10000,Y,22°05'32.59"N,119°28'12.45"E,22°35'42.91"N,118°56'42.59"E,22°34'43.59"N,120°00'44.42"E,21°35'17.37"N,119°59'28.98"E,21°36'13.82"N,118°55'53.82"E,22.0923866,119.4701258,22.5952529,118.9451638,22.5787754,120.0123391,21.5881579,119.991383,21.60384,118.9316174,L1C_T50QQK_A034363_20220120T023021,16287507
